code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
G212,Chemicals,Oil nodules or coal fragments -- not from a BBQ,Undefined,unk,none,Parent code,False,False,False,none
G214,Chemicals,Oil/tar,Construction,unk,none,Parent code,False,False,False,111
G135,Cloth,"Clothes, footware, headware, gloves",Clothing,unk,none,Parent code,True,False,False,54
G136,Cloth,Shoes,Clothing,unk,none,Parent code,True,False,False,none
G137,Cloth,"Clothing, towels & rags",Clothing,unk,none,Parent code,True,False,False,54
G138,Cloth,Shoes and sandals,Clothing,unk,none,Parent code,True,False,False,57
G139,Cloth,Backpacks,Utility items,unk,none,Parent code,True,False,False,none
G140,Cloth,"Bags, burlap, hessian, jute or hemp",Packaging,unk,none,Parent code,False,False,False,56
G141,Cloth,Carpet,Utility items,unk,none,Parent code,False,False,False,55
G145,Cloth,Other textiles,Undefined,unk,none,Parent code,True,False,False,59
G902,Cloth,"Mask medical, cloth reusable",Personal hygiene,unk,none,G145,True,False,False,59
G201,Glass,"Jars, glass or pottery, includes pieces",Packaging,unk,none,Parent code,True,False,False,93
G202,Glass,Light bulbs,Utility items,unk,,Parent code,True,False,False,
G203,Glass,"Tableware ceramic or glass, cups, plates, pieces",Food,unk,none,Parent code,False,False,False,none
G205,Glass,Fluorescent light tubes,Utility items,unk,,Parent code,True,False,False,
G208,Glass,Glass or ceramic fragments > 2.5 cm,Undefined,unk,none,Parent code,True,False,False,none
G209,Glass,Large glass objects,Undefined,unk,,Parent code,True,False,False,
G210,Glass,Other glass/ceramic,Undefined,unk,none,Parent code,True,False,False,96
G917,Glass,Terracotta balls,Utility items,unk,none,G210,False,False,False,96
G180,Metal,Appliances,Utility items,unk,,Parent code,True,False,False,
G185,Metal,Middle size containers,Utility items,unk,,Parent code,True,False,False,
G193,Metal,car parts and batteries,Vehicle,unk,,Parent code,True,False,False,
G195,Metal,Batteries - household,Utility items,unk,,Parent code,True,False,False,
G196,Metal,Large metallic objects,Undefined,unk,,Parent code,True,False,False,
G197,Metal,Other metal,Undefined,unk,,Parent code,True,False,False,
G198,Metal,Other metal pieces < 50cm,Undefined,unk,,Parent code,True,False,False,
G199,Metal,Other metal pieces > 50cm,Undefined,unk,,Parent code,True,False,False,
G906,Metal,coffee capsules aluminum,Packaging,unk,Where does it come from,G177,False,True,False,81
G918,Metal,"Safety pins, paper clips, small metal utility items",Utility items,unk,none,G198,True,False,False,89
G929,Metal,"Electronics and pieces; sensors, headsets etc.",Utility items,unk,Personal equipment,G198,True,False,False,89
